,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
0,PROPIEDAD EN VENTA ZONA CUMBRES,"$ 3,525,000",3,214,"Cumbres Callejuelas 1er Sector, Monterrey",https://www.lamudi.com.mx/propiedad-en-venta-zona-cumbres.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/106e3c7e1a4262.jpg,25.7384795,-100.4078266
1,CASA VENTA LA JOYA  CALANDRIA CARRETERA NACIONAL MONTERREY N.L.,"$ 12,150,000",3,484,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-venta-la-joya-calandria-carretera-nacional-monterrey-n-l.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3a931f3043a774.jpg,25.555904,-100.2258503
2,Casa en venta en La Joya,"$ 11,500,000",5,548,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-77.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/85bc41b4123415.jpg,25.555904,-100.2258503
3,Venta Casa La Joya Carretera Nacional Monterrey,"$ 13,999,900",4,553,"La Joya, Monterrey",https://www.lamudi.com.mx/venta-casa-la-joya-carretera-nacional-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c4d03a5f76ce90.jpg,25.555904,-100.2258503
4,"Casa en Pre venta, La Joya, Privada Loreto.","$ 11,500,000",4,446,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-pre-venta-la-joya-privada-loreto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d963f06d96c95f.jpg,25.555904,-100.2258503
5,"Casa En Venta En La Joya Privada Residencial, Monterrey, Nuevo Leon","$ 14,500,000",4,541,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-privada-residencial-monterrey-nuevo-leon-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/12ce75e564b078.jpg,25.555904,-100.2258503
6,Casa en venta La Joya Privada Residencial al Sur de Monterrey,"$ 11,900,000",3,459,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-privada-residencial-al-sur-de-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/785de1f9c80c01.jpg,25.555904,-100.2258503
7,Casa en Venta en La Joya Carretera Nacional Monterrey,"$ 10,500,000",3,422,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-carretera-nacional-monterrey-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6aa6aaef1d3a3b.jpg,25.555904,-100.2258503
8,La Joya Privada Residencial -CARRETERA NACIONAL- Casa en Venta Zona Sur de Monterrey,"$ 7,900,000",3,380,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-privada-residencial-carretera-nacional-casa-en-venta-zona-sur-de-monterrey-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cbe98c62b12e27.jpg,25.555904,-100.2258503
9,"Casa En Venta En La Joya Privada Residencial, Monterrey, Nuevo Leon","$ 12,150,000",3,484,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-privada-residencial-monterrey-nuevo-leon-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/283745c0ba9023.jpg,25.555904,-100.2258503
