,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
0,"Se vende Oportunidad en rancho Tecate, 450 mts2","$ 60,000",4,300,"Tecate, Tecate",https://www.lamudi.com.mx/se-vende-oportunidad-en-rancho-tecate-450-mts2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/61abb16a6225ba.jpg,32.563609,-116.6256752
1,GRAN VENTA DE CASA EN BAJA CALIFORNIA ( NO SE ACEPTA NINGUN TIPO DE CREDITO),"$ 598,500",2,45,"Andalucia, Tecate",https://www.lamudi.com.mx/gran-venta-de-casa-en-baja-california-no-se-acepta-ningun-tipo-de-credito-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/efc85a7885b6be.jpg,32.5641216,-116.5784504
2,Casa en Hacienda Tecate,"$ 580,000",2,80,"Hacienda Tecate, Tecate",https://www.lamudi.com.mx/casa-en-hacienda-tecate.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4285230d711b85.jpg,32.5674225,-116.6442806
3,VENTA DE HERMOSA CASA EN TECATE,"$ 1,050,000",2,80,"Terrazas del Rio, Tecate",https://www.lamudi.com.mx/venta-de-hermosa-casa-en-tecate.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a39271174a94e0.jpg,32.562172,-116.5941684
4,"Gran oportunidad de casa en Terrazas del Rio, TECATE.","$ 880,000",2,74,"Terrazas del Rio, Tecate",https://www.lamudi.com.mx/gran-oportunidad-de-casa-en-terrazas-del-rio-tecate.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/35e936687e748e.jpg,32.562172,-116.5941684
5,VENTA DE HERMOSA CASA EN TECATE,"$ 1,050,000",2,80,"Terrazas del Rio, Tecate",https://www.lamudi.com.mx/venta-de-hermosa-casa-en-tecate-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a39271174a94e0.jpg,32.562172,-116.5941684
6,"Gran OPORTUNIDAD, Casa en Hacienda Tecate, san Pablo.","$ 880,000",3,94,"San Pablo, Tecate",https://www.lamudi.com.mx/gran-oportunidad-casa-en-hacienda-tecate-san-pablo.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/048a41d2e0d259.jpg,32.5643444,-116.5248573
7,CASAS EN VENTA DE 3RECAMARAS EN TECATE B.C.,"$ 2,166,000",3,130,"Militar, Tecate",https://www.lamudi.com.mx/casas-en-venta-de-3recamaras-en-tecate-b-c.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/11fb5a5d45ca3c.jpg,32.5665621,-116.6192216
8,"Casa en gran terreno, ubicada en Valle de las palmas","$ 4,200,000",5,500,"Valle de las Palmas, Tecate",https://www.lamudi.com.mx/casa-en-gran-terreno-ubicada-en-valle-de-las-palmas.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/03bad3856bd78b.jpg,32.3691023,-116.6189782
9,"Se vende casa de 3 recamaras fracc. El Mayab, Tecate BC","$ 2,545,000",3,120,"Tecate Centro, Tecate",https://www.lamudi.com.mx/se-vende-casa-de-3-recamaras-fracc-el-mayab-tecate-bc.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0b64127157245c.jpg,32.563609,-116.6256752
10,"CASA CON 400 MT2 DE TERRENO EN TECATE, BC","$ 2,910,000",2,200,Tecate,https://www.lamudi.com.mx/casa-con-400-mt2-de-terreno-en-tecate-bc.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cde1851a5cf3ad.jpg,32.563609,-116.6256752
11,"CASA DE 2 RECAMARAS EN SANTA MARIA RESIDENCIAL, TECATE B.C.","$ 2,590,000",2,120,"Benito Juarez, Tecate",https://www.lamudi.com.mx/casa-de-2-recamaras-en-santa-maria-residencial-tecate-b-c.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6ff4b6786ad8df.jpg,32.5568016,-116.6361736
