,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen
0,LINDA CASA EN VENTA EXCELENTE PRECIO,"$ 2,169,700",4,355,"San Isidro, Torreon",https://www.lamudi.com.mx/linda-casa-en-venta-excelente-precio-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/669d64d65c22ef.jpg
1,"Casa en venta en Palma Real, con alberca. Sector Vinedos.","$ 1,850,000",3,160,"Palma Real, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-palma-real-con-alberca-sector-vinedos.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/def25e31ad01fa.jpg
2,"Casa sola en Venta, en Los Vinedos, Torreon","$ 4,280,000",3,279,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-sola-en-venta-en-los-vinedos-torreon-7.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/45931eaa0de846.jpg
3,VENTA DE CASA EN TORREON CENTRO,"$ 1,960,000",6,284,"Torreon Centro, Torreon",https://www.lamudi.com.mx/venta-de-casa-en-torreon-centro.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4d9706b21036ce.jpg
5,"¡Preventa! Casa en Venta, Cerrada Corzo, Sector Vinedos, Torreon, Coahuila","$ 3,500,000",3,295,"Los Vinedos, Torreon",https://www.lamudi.com.mx/preventa-casa-en-venta-cerrada-corzo-sector-vinedos-torreon-coahuila.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5d92b1638c83e4.jpg
6,"Casa unica en Venta, Quinta del Rosario, Quintas San Isidro","$ 4,920,000",3,458,"Quintas San Isidro, Torreon",https://www.lamudi.com.mx/casa-unica-en-venta-quinta-del-rosario-quintas-san-isidro.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e70fc40c1a9d7a.jpg
7,"CASA EN VENTA TORREON, RESIDENCIAL EL FRESNO","$ 13,500,000",3,991,"El Fresno, Torreon",https://www.lamudi.com.mx/casa-en-venta-torreon-residencial-el-fresno.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c05e9de698e8f5.jpg
8,CASA DE UN PISO EN VENTA CERCANA A BLVD RODRIGUEZ TRIANA EN CIRCUITO TORREON,"$ 1,100,000",3,125,"Las Flores, Torreon",https://www.lamudi.com.mx/casa-de-un-piso-en-venta-cercana-a-blvd-rodriguez-triana-en-circuito-torreon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fa09a1bb0e9a8d.jpg
9,"Casa en Venta en Palma Real, Vinedos.","$ 2,700,000",3,245,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-palma-real-vinedos-91.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/779ffa9e8b080d.jpg
10,"Casa en venta, Fraccionamiento los Vinedos, Torreon Coah.","$ 2,550,000",3,244,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-fraccionamiento-los-vinedos-torreon-coah.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4eaf51f2d61ba5.jpg
11,CASA EN VENTA EN CIRCUITO CERCANO AL PERIFERICO Y AV BRAVO TORREON,"$ 1,100,000",3,135,"Chapultepec, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-circuito-cercano-al-periferico-y-av-bravo-torreon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/31515ce78a0662.jpg
12,CASA  EN VENTA  COLONIA CENTRO,"$ 1,820,000",4,213,"Torreon Centro, Torreon",https://www.lamudi.com.mx/casa-en-venta-colonia-centro-17.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ffb76ab167ca1f.jpg
13,"Casa en Venta en Ampliacion Senderos, Frente a area verde, Torreon, Coahuila","$ 1,450,000",3,149,"Ampliacion Senderos, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-ampliacion-senderos-frente-a-area-verde-torreon-coahuila.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e6ce29c659b59e.jpg
14,CASA EN VENTA EN TORREON COAHUILA.,"$ 1,100,000",3,200,"Condominios Punta Diamante, Torreon",https://www.lamudi.com.mx/casa-en-venta-en-torreon-coahuila-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6f3867a9bd6640.jpg
15,"CASA EN VENTA TORREON, PUERTA DE HIERRO.","$ 1,350,000",3,114,Torreon,https://www.lamudi.com.mx/casa-en-venta-torreon-puerta-de-hierro.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/34a5f316bf6d81.jpg
16,CASA CON ALBERCA EN VENTA ZONA VINEDOS TORREON,"$ 2,180,000",3,180,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-con-alberca-en-venta-zona-vinedos-torreon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8ff6bf77f37467.jpg
17,Casa en venta de 4 Recamaras,"$ 2,750,000",4,257,"Los Vinedos, Torreon",https://www.lamudi.com.mx/casa-en-venta-de-4-recamaras-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/be807a65f9f148.jpg
