,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen
0,Casa en venta Col. Gonzalitos al Norte de Monterrey,"$ 13,400,000",3,430,"Gonzalitos, Monterrey",https://www.lamudi.com.mx/casa-en-venta-col-gonzalitos-al-norte-de-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/76be202b4ae4c9.jpg
1,CASA EN VENTA EN RESIDENCIAL CLUB DE GOLF LA HERRADURA,"$ 26,950,000",5,750,"Club de Golf La Herradura, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-residencial-club-de-golf-la-herradura.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dc5fea88212bc9.jpg
2,CASA EN VENTA EN BOSQUES DE VALLE ALTO,"$ 9,200,000",3,440,"Bosques de Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-bosques-de-valle-alto-21.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8908b18681ffd7.jpg
3,Casa en venta y renta Cumbres Elite 6o. sector al Poniente de Monterrey,"$ 14,000,000",5,500,"Cumbres Elite, Monterrey",https://www.lamudi.com.mx/casa-en-venta-y-renta-cumbres-elite-6o-sector-al-poniente-de-monterrey-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1394fe4c630c2c.jpg
4,Casa en Venta Jardines Valle Alto Carretera Nacional zona Sur Monterrey NL,"$ 12,899,990",4,641,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-jardines-valle-alto-carretera-nacional-zona-sur-monterrey-nl.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ad6909f99215b2.jpg
5,Casa en Venta en Barrio San Carlos,"$ 1,100,000",2,100,"San Pedro, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-barrio-san-carlos.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b39dfdf1f54ee2.jpg
6,Casa en Venta en Valle Alto Monterrey Nuevo Leon Zona Sur,"$ 12,899,900",4,651,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-monterrey-nuevo-leon-zona-sur.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a287b2caf6fa8a.jpg
7,"Casa en venta Valle del Cristal, Carretera Nacional.","$ 8,700,000",4,416,"Valle de Cristal, Monterrey",https://www.lamudi.com.mx/casa-en-venta-valle-del-cristal-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b4328302bd59c6.jpg
8,Casa en venta Hacienda San Jeronimo al Poniente de Monterrey,"$ 12,490,000",3,466,"Hacienda San Jeronimo, Monterrey",https://www.lamudi.com.mx/casa-en-venta-hacienda-san-jeronimo-al-poniente-de-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4136254f45d6d8.jpg
9,Venta de Casa alado de Paseo San Bernabe Cd Solidaridad Ampliacion 5 Recamaras,"$ 750,000",5,110,"San Bernabe Unidad, Monterrey",https://www.lamudi.com.mx/venta-de-casa-alado-de-paseo-san-bernabe-cd-solidaridad-ampliacion-5-recamaras.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e328a9d1c49035.jpg
