web-scraper-order,web-scraper-start-url,pag,pag-href,casas,casas-href,recamaras,ba«Òos,medio ba«Òo,cochera,terreno,precio,ubicacion,Latitude,Longitude,"Latitude, Longitude",precio por ,absorcion aprox.
1635205217-640,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,9,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-9/v1c1097l14828p9,Departamento en Venta COSMOCRAT Puerta de Hierro,https://www.vivanuncios.com.mx/a-departamentos-en-venta/puerta-de-hierro/departamento-en-venta-cosmocrat-puerta-de-hierro/1003727845900911247936509,1,1,1,2,210,"$5,278,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",25133,0.5
1635212371-902,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,2,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-2/v1c1097l14828p2,Unica casa en venta en Zotogrande Casa de lujo amplio jardin,https://www.vivanuncios.com.mx/a-casas-en-venta/lomas-del-bosque-zapopan/unica-casa-en-venta-en-zotogrande-casa-de-lujo-amplio-jardin/1003721023660911132780509,4,4,1,4,1027,"$48,000,000","Zoto Grande Residencial, Zapopan, Jalisco",20.7156545,-103.4085558,"20.7156545, -103.4085558",46738,
1635204479-613,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,,,"Venta Casa En Royal Country ""La Loma"", Zapopan.",https://www.vivanuncios.com.mx/a-casas-en-venta/puerta-de-hierro-zapopan/venta-casa-en-royal-country-34-la-loma-34-zapopan/1003647004790910861626509,3,4,2,2,220,"$9,600,000","Royal Country, Zapopan, Jalisco",20.7086743,-103.423002,"20.7086743, -103.423002",43636,
1635207087-710,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,14,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-14/v1c1097l14828p14,"Residencia en Venta en PUERTA DE HIERRO, Zapopan, Jal.",https://www.vivanuncios.com.mx/a-casas-en-venta/puerta-de-hierro/residencia-en-venta-en-puerta-de-hierro-zapopan-jal/1003674626110911170160209,3,3,1,2,471,"$15,890,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",33737,
1635206327-682,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,15,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-15/v1c1097l14828p15,Departamento en venta en puerta de hierro,https://www.vivanuncios.com.mx/a-departamentos-en-venta/puerta-de-hierro/departamento-en-venta-en-puerta-de-hierro/1003692431150911164662709,2,3,2,1,92,"$4,780,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",51957,
1635211608-875,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,4,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-4/v1c1097l14828p4,CASA EN VENTA ATLAS COLOMOS,https://www.vivanuncios.com.mx/a-casas-en-venta/zapopan/casa-en-venta-atlas-colomos/1003563101320911174613809,4,4,1,4,300,"$24,000,000","Lomas del Bosque, Zapopan, Jalisco",20.7128482,-103.4071112,"20.7128482, -103.4071112",80000,
1635206381-684,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,15,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-15/v1c1097l14828p15,Casa en venta en condominio en Puerta del Bosque Zapopan,https://www.vivanuncios.com.mx/a-casas-en-venta/zapopan/casa-en-venta-en-condominio-en-puerta-del-bosque-zapopan/1003692432450911164662709,4,4,1,2,360,"$16,000,000","Puerta del Bosque, Zapopan, Jalisco",20.7002561,-103.418668,"20.7002561, -103.418668",44444,
1635209596-801,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,7,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-7/v1c1097l14828p7,Departamento de lujo en venta en Zapopan zona Puerta de Hierro,https://www.vivanuncios.com.mx/a-departamentos-en-venta/puerta-de-hierro/departamento-de-lujo-en-venta-en-zapopan-zona-puerta-de-hierro/1003660449290910862208009,3,4,1,3,277,"$19,200,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",69314,
1635205345-644,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,13,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-13/v1c1097l14828p13,"Magnifica Residencia en Venta en Puerta de Hierro en Zapopan, Jal.",https://www.vivanuncios.com.mx/a-casas-en-venta/puerta-de-hierro/magnifica-residencia-en-venta-en-puerta-de-hierro-en-zapopan-jal/1003626507050911170160209,4,4,1,4,482,"$17,950,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",37241,
1635207659-731,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/v1c1097l14828p1,12,https://www.vivanuncios.com.mx/s-venta-inmuebles/zapopan/page-12/v1c1097l14828p12,Casa en venta en Puerta de Hierro,https://www.vivanuncios.com.mx/a-casas-en-venta/puerta-de-hierro/casa-en-venta-en-puerta-de-hierro/1003542478450911211240909,4,4,4,4,647,"$19,990,000","Puerta de Hierro, Zapopan, Jalisco",20.7155297,-103.4193903,"20.7155297, -103.4193903",30896,
