city,price/m2,latitud,longitud
"Llano Largo, Acapulco de Juarez",7363,16.8272593,-99.81612525
"Mozimba, Acapulco de Juarez",3391,16.862589,-99.9237989
"San Agustin, Acapulco de Juarez",7179,16.935556,-99.821944
"Acapulco de Juarez Centro, Acapulco de Juarez",8083,16.8538465,-99.85190692
"Arroyo Seco, Acapulco de Juarez",8088,16.920296,-99.8273382
"Renacimiento, Acapulco de Juarez",3680,16.8956945,-99.8223531
"Chinameca, Acapulco de Juarez",5000,16.8666459,-99.8614849
"Emiliano Zapata, Acapulco de Juarez",1887,16.9028598,-99.8373734
"Granjas del Marques, Acapulco de Juarez",10000,16.7921038,-99.8061609
"Tuncingo, Acapulco de Juarez",6478,16.851111,-99.788889
"La Venta, Acapulco de Juarez",6563,16.910882,-99.803742
"Coral, Acapulco de Juarez",5423,16.858071,-99.8547427
"Cayaco, Acapulco de Juarez",9717,16.8154263,-99.8152971
"Libertadores, Acapulco de Juarez",3246,16.8929748,-99.8395684
"El Quemado, Acapulco de Juarez",8364,16.9143408,-99.8388601
